Comment,Designator,Footprint,LCSC
"10u","C1,C4,C17","Capacitor_SMD:C_0805_2012Metric","C91245"
"22pf","C2,C3","Capacitor_SMD:C_0805_2012Metric","C1804"
"100n","C5,C6,C7,C9,C11,C12,C13,C14","Capacitor_SMD:C_0805_2012Metric","C49678"
"1u","C8,C10","Capacitor_SMD:C_0805_2012Metric","C28323"
"BAV70","D1,D55,D56,D203,D407,D506,D809,D1011,D1213,D1415,D1617,D1819,D2021,D2223,D2425,D2627,D2829,D3031,D3233,D3435,D3637,D3839,D4041,D4243,D4445,D4647,D10011,D110111,D210211,D310311,D410411","Package_TO_SOT_SMD:SOT-23","C68978 "
"WS2812B","DLED0,DLED1,DLED2,DLED3,DLED4,DLED0.5","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",""
"RotaryEncoder_Switch","ENCODERLEFT1,ENCODERRIGHT1,ENCODERLEFT2,ENCODERRIGHT2","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",""
"polyfuse","F0","Fuse:Fuse_1206_3216Metric","C69688"
"USB_C_Receptacle_USB2.0","J0","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","C165948"
"BREAKOUT","J1","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical",""
"Conn_01x04_Female","J2","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"Conn_01x01_Male","J4","Connector_PinSocket_1.27mm:PinSocket_1x01_P1.27mm_Vertical",""
"Conn_01x02_Female","J5","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"1k","R1,R5","Resistor_SMD:R_0805_2012Metric","C115316"
"27","R3,R4","Resistor_SMD:R_0805_2012Metric","C104170"
"5.1k","R6,R7","Resistor_SMD:R_0805_2012Metric","C27834"
"10k","R8","Resistor_SMD:R_0805_2012Metric","C115309"
"RESET ","SW-1","Keebio-Parts:SW_SPST_TL3342","C2886894"
"RESET","SW-2","Keebio-Parts:SW_SPST_TL3342","C2886894"
"SW_SPST","SW0,SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW1.0,SW10,SW1.1,SW11,SW1.2,SW13,SW14,SW15,SW16,SW17,SW18,SW19,SW20,SW21,SW22,SW23,SW24,SW25,SW26,SW27,SW28,SW29,SW30,SW31,SW32,SW33,SW34,SW35,SW36,SW37,SW38,SW39,SW40,SW41,SW42,SW44,SW45,SW46,SW47,SW49,SW55,SW56,SW110,SW111,SW210,SW211,SW310,SW311,SW411","Keebio-Parts:MX-Alps-Choc-1U-NoLED",""
"XC6206PxxxMR","U1","Package_TO_SOT_SMD:SOT-23","C3015484"
"W25Q128JVS","U2","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","C97521"
"RP2040","U3","RP2040:RP2040-QFN-56","C2040"
"SRV05-4","U44","Package_TO_SOT_SMD:SOT-23-6","C85364"
"12MHZ Crystal ","Y0","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C9002"